2000,164.5
2005,68.8
2006,65.1
2007,62.8
2008,59.6
2009,53.0
2010,44.6
2011,37.6
2012,33.0
2013,28.9
2014,25.1
2015,23.5
2016,21.2
2017,19.5
2018,16.7
2019,15.0
2020,10.5
2021,14.5
