"BGR","","ALL","1987","6.52"
"BGR","","ALL","1988","5.34"
"BGR","","ALL","1989","5.37"
"BGR","","ALL","1990","4.2"
"BGR","","ALL","1991","5.03"
"BGR","","ALL","1992","7.44"
"BGR","","ALL","1993","11.12"
"BGR","","ALL","1994","14.48"
"BGR","","ALL","1995","20.08"
"BGR","","ALL","1996","27.17"
"BGR","","ALL","1997","15.09"
"BGR","","ALL","1998","32.87"
"BGR","","ALL","1999","30.56"
"BGR","","ALL","2000","19.77"
"BGR","","ALL","2001","18.39"
"BGR","","ALL","2002","94.38"
"BGR","","ALL","2003","84.8"
"BGR","","ALL","2004","79.51"
"BGR","","ALL","2005","66.47"
"BGR","","ALL","2006","6.61"
"BGR","","ALL","2013","4.87"
"BIH","","ALL","2002","0.45"
"BIH","","ALL","2005","0.23"
"BIH","","ALL","2006","0.74"
"BIH","","ALL","2007","0.5"
"BIH","","ALL","2008","0.39"
"BIH","","ALL","2010","0.65"
"BIH","","ALL","2011","0.13"
"BIH","","ALL","2012","0.5"
"BLR","","ALL","1980","8.4"
"BLR","","ALL","1981","6.21"
"BLR","","ALL","1982","5.58"
"BLR","","ALL","1983","4.48"
"BLR","","ALL","1984","3.6"
"BLR","","ALL","1985","3.5"
"BLR","","ALL","1986","2.77"
"BLR","","ALL","1987","1.57"
"BLR","","ALL","1988","1.4"
"BLR","","ALL","1989","2.08"
"BLR","","ALL","1990","2.68"
"BLR","","ALL","1991","5.08"
"BLR","","ALL","1992","11.7"
"BLR","","ALL","1993","30.32"
"BLR","","ALL","1994","72.16"
"BLR","","ALL","1995","150.63"
"BLR","","ALL","1996","210.88"
"BLR","","ALL","1997","199.07"
"BLR","","ALL","1998","164.13"
"BLR","","ALL","1999","130.28"
"BLR","","ALL","2000","105.22"
"BLR","","ALL","2001","80.48"
"BLR","","ALL","2002","58.8"
"BLR","","ALL","2003","48.71"
"BLR","","ALL","2004","41.1"
"BLR","","ALL","2005","32.74"
"BLR","","ALL","2006","27.07"
"BLR","","ALL","2007","22.47"
"BLR","","ALL","2009","17.68"
"BLR","","ALL","2010","11.97"
"BLR","","ALL","2011","11.73"
"BLR","","ALL","2012","10.32"
"BLR","","ALL","2013","9.49"
"","CARINFONET","ALL","1980","15.21"
"","CARINFONET","ALL","1981","16.79"
"","CARINFONET","ALL","1982","17.46"
"","CARINFONET","ALL","1983","17.07"
"","CARINFONET","ALL","1984","16.35"
"","CARINFONET","ALL","1985","13.32"
"","CARINFONET","ALL","1986","8.55"
"","CARINFONET","ALL","1987","5.26"
"","CARINFONET","ALL","1988","3.29"
"","CARINFONET","ALL","1989","2.3"
"","CARINFONET","ALL","1990","1.59"
"","CARINFONET","ALL","1991","1.88"
"","CARINFONET","ALL","1992","2.68"
"","CARINFONET","ALL","1993","5.48"
"","CARINFONET","ALL","1994","17.71"
"","CARINFONET","ALL","1995","56.34"
"","CARINFONET","ALL","1996","103.5"
"","CARINFONET","ALL","1997","114.68"
"","CARINFONET","ALL","1998","101.12"
"","CARINFONET","ALL","1999","78.54"
"","CARINFONET","ALL","2000","66.1"
"","CARINFONET","ALL","2001","56.37"
"","CARINFONET","ALL","2002","50.17"
"","CARINFONET","ALL","2003","38.85"
"","CARINFONET","ALL","2004","34.1"
"","CARINFONET","ALL","2005","27.77"
"","CARINFONET","ALL","2006","24.29"
"","CARINFONET","ALL","2007","20.47"
"","CARINFONET","ALL","2009","19.08"
"","CARINFONET","ALL","2010","17.94"
"CHE","","ALL","1980","6.11"
"CHE","","ALL","1981","5.63"
"CHE","","ALL","1982","5.04"
"CHE","","ALL","1983","4.25"
"CHE","","ALL","1984","4.28"
"CHE","","ALL","1985","4.84"
"CHE","","ALL","1986","4.17"
"CHE","","ALL","1987","2.6"
"CHE","","ALL","1988","5.57"
"CHE","","ALL","1989","5.81"
"CHE","","ALL","1990","4.92"
"CHE","","ALL","1991","5"
"CHE","","ALL","1992","4.45"
"CHE","","ALL","1993","4.17"
"CHE","","ALL","1994","3.55"
"CHE","","ALL","1995","3.15"
"CHE","","ALL","1996","2.45"
"CHE","","ALL","1997","1.9"
"CHE","","ALL","1998","2.39"
"CHE","","ALL","2006","9.42"
"CHE","","ALL","2007","7.39"
"CHE","","ALL","2008","8.79"
"CHE","","ALL","2009","4.69"
"CHE","","ALL","2010","4.89"
"CHE","","ALL","2011","5.11"
"CHE","","ALL","2012","6.79"
"","CIS","ALL","1980","23.51"
"","CIS","ALL","1981","21.75"
"","CIS","ALL","1982","20.14"
"","CIS","ALL","1983","18.69"
"","CIS","ALL","1984","17.52"
"","CIS","ALL","1985","15.06"
"","CIS","ALL","1986","12.7"
"","CIS","ALL","1987","10.73"
"","CIS","ALL","1988","9.84"
"","CIS","ALL","1989","9.68"
"","CIS","ALL","1990","10.23"
"","CIS","ALL","1991","11.49"
"","CIS","ALL","1992","15.62"
"","CIS","ALL","1993","28.61"
"","CIS","ALL","1994","66.84"
"","CIS","ALL","1995","136.03"
"","CIS","ALL","1996","199.8"
"","CIS","ALL","1997","207.65"
"","CIS","ALL","1998","178.69"
"","CIS","ALL","1999","142.36"
"","CIS","ALL","2000","122.94"
"","CIS","ALL","2001","105.62"
"","CIS","ALL","2002","88.95"
"","CIS","ALL","2003","70.39"
"","CIS","ALL","2004","59.58"
"","CIS","ALL","2005","50.13"
"","CIS","ALL","2006","46.02"
"","CIS","ALL","2007","43.85"
"","CIS","ALL","2008","41.37"
"","CIS","ALL","2009","37.61"
"","CIS","ALL","2010","30.84"
"","CIS","ALL","2011","25.35"
"CYP","","ALL","1984","5.42"
"CYP","","ALL","1985","5.36"
"CYP","","ALL","1986","4.2"
"CYP","","ALL","1987","5.78"
"CYP","","ALL","1988","3.93"
"CYP","","ALL","1989","3.88"
"CYP","","ALL","1990","2.76"
"CYP","","ALL","1991","2.19"
"CYP","","ALL","1992","2.46"
"CYP","","ALL","1993","2.4"
"CYP","","ALL","1994","3.13"
"CYP","","ALL","1995","3.53"
"CYP","","ALL","1996","4.84"
"CYP","","ALL","1997","4.77"
"CYP","","ALL","1998","4.86"
"CYP","","ALL","1999","3.5"
"CYP","","ALL","2000","4.61"
"CYP","","ALL","2001","3.85"
"CYP","","ALL","2002","2.96"
"CYP","","ALL","2003","2.91"
"CYP","","ALL","2004","1.64"
"CYP","","ALL","2005","2.83"
"CYP","","ALL","2006","1.72"
"CYP","","ALL","2007","0.52"
"CYP","","ALL","2008","1.77"
"CYP","","ALL","2009","1.85"
"CYP","","ALL","2010","2.4"
"CYP","","ALL","2011","1.88"
"CYP","","ALL","2012","0.69"
"CYP","","ALL","2013","1.39"
"CZE","","ALL","1980","5.22"
"CZE","","ALL","1981","4.45"
"CZE","","ALL","1982","3.25"
"CZE","","ALL","1983","3.46"
"CZE","","ALL","1984","3.39"
"CZE","","ALL","1985","2.76"
"CZE","","ALL","1986","1.93"
"CZE","","ALL","1987","1.92"
"CZE","","ALL","1988","1.95"
"CZE","","ALL","1989","1.32"
"CZE","","ALL","1990","1.5"
"CZE","","ALL","1991","2.42"
"CZE","","ALL","1992","2.57"
"CZE","","ALL","1993","2.26"
"CZE","","ALL","1994","3.57"
"CZE","","ALL","1995","4.19"
"CZE","","ALL","1996","5.34"
"CZE","","ALL","1997","5.86"
"CZE","","ALL","1998","6.67"
"CZE","","ALL","1999","7.11"
"CZE","","ALL","2000","9.41"
"CZE","","ALL","2001","13.46"
"CZE","","ALL","2002","9.57"
"CZE","","ALL","2003","8.32"
"CZE","","ALL","2004","6.73"
"CZE","","ALL","2005","5.45"
"CZE","","ALL","2006","4.95"
"CZE","","ALL","2008","7.74"
"CZE","","ALL","2009","9.23"
"CZE","","ALL","2010","9.43"
"CZE","","ALL","2011","6.16"
"CZE","","ALL","2012","6.27"
"CZE","","ALL","2013","6.18"
"DEU","","ALL","1990","1.09"
"DEU","","ALL","1991","1.59"
"DEU","","ALL","1992","1.72"
"DEU","","ALL","1993","1.66"
"DEU","","ALL","1994","1.28"
"DEU","","ALL","1995","1.39"
"DEU","","ALL","1996","1.38"
"DEU","","ALL","1997","1.38"
"DEU","","ALL","1998","1.4"
"DEU","","ALL","1999","1.4"
"DEU","","ALL","2000","1.38"
"DEU","","ALL","2001","1.98"
